Rk,Player,School,Conf,G,Rec,Yds,Avg,TD,Att,Yds,Avg,TD,Plays,Yds,Avg,TD,-9999
63,Trayvon Rudolph,Northern Illinois,MAC,6,14,232,16.6,0,0,0,,0,14,232,16.6,0,trayvon-rudolph-1
64,Marvin Mims,Oklahoma,Big 12,11,37,610,16.5,9,2,17,8.5,0,39,627,16.1,9,marvin-mims-1
65,Calvin Turner,Hawaii,MWC,9,33,546,16.5,6,60,331,5.5,4,93,877,9.4,10,calvin-turner-2
66,Duece Watts,Tulane,American,9,31,512,16.5,6,1,2,2,0,32,514,16.1,6,duece-watts-1
67,Jeshaun Jones,Maryland,Big Ten,4,11,181,16.5,1,0,0,,0,11,181,16.5,1,jeshaun-jones-1
68,Rivaldo Fairweather,Florida International,CUSA,3,10,165,16.5,1,0,0,,0,10,165,16.5,1,rivaldo-fairweather-1
69,Devin Carter,North Carolina State,ACC,10,29,477,16.4,2,0,0,,0,29,477,16.4,2,devin-carter-1
70,CJ Lewis,Boston College,ACC,10,28,460,16.4,5,0,0,,0,28,460,16.4,5,cj-lewis-2
71,Erik Ezukanma,Texas Tech,Big 12,10,46,748,16.3,6,0,0,,0,46,748,16.3,6,erik-ezukanma-1
72,Kayshon Boutte,LSU,SEC,10,45,735,16.3,5,0,0,,0,45,735,16.3,5,kayshon-boutte-1
73,Terrell Bynum,Washington,Pac-12,3,8,130,16.3,0,5,70,14,0,13,200,15.4,0,terrell-bynum-1
74,Seth Williams,Auburn,SEC,11,47,760,16.2,4,0,0,,0,47,760,16.2,4,seth-williams-1
75,Austin Stogner,Oklahoma,Big 12,8,26,422,16.2,3,0,0,,0,26,422,16.2,3,austin-stogner-1
76,Jaelon Darden,North Texas,CUSA,9,74,1190,16.1,19,1,-3,-3,0,75,1187,15.8,19,jaelon-darden-1
77,Treylon Burks,Arkansas,SEC,9,51,820,16.1,7,15,75,5,0,66,895,13.6,7,treylon-burks-1
78,J.C. Santana,Tulsa,American,9,34,544,16,4,2,20,10,0,36,564,15.7,4,jc-santana-1
79,Tim Jones,Southern Mississippi,CUSA,7,30,480,16,4,0,0,,0,30,480,16,4,tim-jones-8
80,DeVonta Smith,Alabama,SEC,13,117,1856,15.9,23,4,6,1.5,1,121,1862,15.4,24,devonta-smith-1
81,Zay Flowers,Boston College,ACC,11,56,892,15.9,9,11,41,3.7,1,67,933,13.9,10,zay-flowers-1
82,Cornelius Johnson,Michigan,Big Ten,4,16,254,15.9,3,0,0,,0,16,254,15.9,3,cornelius-johnson-1
83,Antonio Nunn,Buffalo,MAC,7,37,584,15.8,2,0,0,,0,37,584,15.8,2,antonio-nunn-1
84,Keric Wheatfall,Fresno State,MWC,5,23,363,15.8,1,1,-5,-5,0,24,358,14.9,1,keric-wheatfall-1
85,Dante Wright,Colorado State,MWC,3,20,315,15.8,0,9,36,4,0,29,351,12.1,0,dante-wright-1
86,Ayden Eberhardt,Wyoming,MWC,6,16,252,15.8,0,1,1,1,0,17,253,14.9,0,ayden-eberhardt-1
87,Taylor Thompson,Charlotte,CUSA,5,12,190,15.8,1,0,0,,0,12,190,15.8,1,taylor-thompson-3
88,Emeka Emezie,North Carolina State,ACC,12,47,738,15.7,5,1,5,5,0,48,743,15.5,5,emeka-emezie-1
89,Joshua Moore,Texas,Big 12,8,30,472,15.7,9,1,-1,-1,0,31,471,15.2,9,joshua-moore-2
90,Tylan Wallace,Oklahoma State,Big 12,10,59,922,15.6,6,1,7,7,0,60,929,15.5,6,tylan-wallace-1
91,Tayvion Robinson,Virginia Tech,ACC,11,38,592,15.6,3,5,48,9.6,0,43,640,14.9,3,tayvion-robinson-1
92,Tre Turner,Virginia Tech,ACC,10,34,529,15.6,3,9,60,6.7,2,43,589,13.7,5,tre-turner-2
93,Trevon Grimes,Florida,SEC,11,38,589,15.5,9,1,4,4,0,39,593,15.2,9,trevon-grimes-1
94,Simi Fehoko,Stanford,Pac-12,6,37,574,15.5,3,1,-1,-1,0,38,573,15.1,3,simi-fehoko-1
95,Skyy Moore,Western Michigan,MAC,5,25,388,15.5,3,1,0,0,0,26,388,14.9,3,skyy-moore-1
96,Jason Ivory,Memphis,American,9,23,356,15.5,3,0,0,,0,23,356,15.5,3,jason-ivory-1
97,Jared Wayne,Pitt,ACC,7,21,326,15.5,1,0,0,,0,21,326,15.5,1,jared-wayne-1
98,Ja'Shaun Poke,Kent State,MAC,4,21,326,15.5,3,3,1,0.3,0,24,327,13.6,3,jashaun-poke-1
99,Jaivon Heiligh,Coastal Carolina,Sun Belt,11,65,998,15.4,10,0,0,,0,65,998,15.4,10,jaivon-heiligh-1
100,Jalen Camp,Georgia Tech,ACC,9,27,417,15.4,4,0,0,,0,27,417,15.4,4,jalen-camp-1
101,Bryce Ford-Wheaton,West Virginia,Big 12,8,27,416,15.4,3,0,0,,0,27,416,15.4,3,bryce-ford-wheaton-1
102,Ronnie Bell,Michigan,Big Ten,6,26,401,15.4,1,0,0,,0,26,401,15.4,1,ronnie-bell-3
103,Briley Moore,Kansas State,Big 12,9,22,338,15.4,3,0,0,,0,22,338,15.4,3,briley-moore-1
104,Marquez Stevenson,Houston,American,5,20,307,15.4,4,3,16,5.3,0,23,323,14,4,marquez-stevenson-1
105,Chabastin Taylor,Kansas State,Big 12,8,19,293,15.4,1,1,20,20,0,20,313,15.7,1,chabastin-taylor-1
106,Kylen Granson,SMU,American,10,35,536,15.3,5,1,0,0,0,36,536,14.9,5,kylen-granson-1
107,Tanner Knue,Eastern Michigan,MAC,6,27,413,15.3,4,0,0,,0,27,413,15.3,4,tanner-knue-1
108,Cary Angeline,North Carolina State,ACC,11,27,412,15.3,6,0,0,,0,27,412,15.3,6,cary-angeline-1
109,Miles Marshall,Indiana,Big Ten,6,19,290,15.3,1,0,0,,0,19,290,15.3,1,miles-marshall-1
110,Terrace Marshall Jr.,LSU,SEC,7,48,731,15.2,10,0,0,,0,48,731,15.2,10,terrace-marshall-jr-1
111,Brevin Jordan,Miami (FL),ACC,8,38,576,15.2,7,2,1,0.5,0,40,577,14.4,7,brevin-jordan-1
112,Drake London,USC,Pac-12,6,33,502,15.2,3,0,0,,0,33,502,15.2,3,drake-london-1
113,Dontay Demus,Maryland,Big Ten,5,24,365,15.2,4,0,0,,0,24,365,15.2,4,dontay-demus-1
114,Austin Ogumakin,North Texas,CUSA,10,23,349,15.2,1,0,0,,0,23,349,15.2,1,austin-ogumakin-1
115,Ben Skowronek,Notre Dame,ACC,9,29,439,15.1,5,2,17,8.5,1,31,456,14.7,6,ben-skowronek-1
116,Myron Mitchell,UAB,CUSA,9,29,436,15,3,1,9,9,0,30,445,14.8,3,myron-mitchell-1
117,Jaelen Gill,Boston College,ACC,11,29,435,15,1,0,0,,0,29,435,15,1,jaelen-gill-1
118,Amir Abdur-Rahman,Vanderbilt,SEC,8,27,406,15,1,0,0,,0,27,406,15,1,amir-abdur-rahman-1
119,Jermaine Burton,Georgia,SEC,10,27,404,15,3,4,50,12.5,0,31,454,14.6,3,jermaine-burton-1
120,Josh Kelly,Fresno State,MWC,6,22,330,15,1,2,8,4,1,24,338,14.1,2,josh-kelly-2
