Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2:00 PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
299,Mike Tolbert,CAR,RB,31,16,2,0,0,0,0,0,35,114,3.26,0,15,10,72,7.2,1,0,0,1,,,25,34.6,37.6,29.6,,86,,TolbMi00
300,Luke Willson,SEA,TE,26,11,6,0,0,0,0,0,0,0,,0,21,15,129,8.6,2,0,0,2,,,25,39.9,42.9,32.4,,47,,WillLu00
301,Orleans Darkwa,NYG,RB,24,10,2,0,0,0,0,0,30,111,3.7,2,4,2,12,6,0,0,0,2,,,24,26.3,29.3,25.3,,87,,DarkOr00
302,Kenneth Farrow,SDG,RB,23,13,2,0,0,0,0,0,60,192,3.2,0,16,13,70,5.38,0,2,1,0,,,24,37.2,41.2,30.7,,88,,FarrKe02
303,Xavier Grimble,PIT,TE,24,13,2,0,0,0,0,0,0,0,,0,21,11,118,10.73,2,0,0,2,,,24,34.8,37.8,29.3,,49,,GrimXa00
304,Jalin Marshall,NYJ,WR,21,10,1,0,0,0,0,0,0,0,,0,23,14,162,11.57,2,4,2,2,,,24,38.2,43.2,31.2,,122,,MarsJa01
305,Charles Johnson,MIN,WR,27,16,7,0,0,0,0,0,0,0,,0,37,20,232,11.6,0,0,0,0,,,23,43.2,46.2,33.2,,123,,JohnCh08
306,Marcedes Lewis,JAX,TE,32,10,10,0,0,0,0,0,0,0,,0,30,20,169,8.45,1,0,0,1,,,23,42.9,45.9,32.9,,50,,LewiMa00
307,Jordan Norwood,DEN,WR,30,14,6,0,0,0,0,0,1,0,0,0,35,21,232,11.05,1,5,3,1,,,23,44.2,50.2,33.7,,124,,NorwJo00
308,Ameer Abdullah,DET,RB,23,2,2,0,0,0,0,0,18,101,5.61,0,5,5,57,11.4,1,0,0,1,,,22,26.8,29.8,24.3,,90,,AbduAm00
309,Ronnie Hillman,2TM,RB,25,8,1,0,0,0,0,0,41,131,3.2,0,15,7,93,13.29,0,0,0,0,,,22,29.4,32.4,25.9,,89,,HillRo00
310,Ben Koyack,JAX,TE,23,14,7,0,0,0,0,0,0,0,,0,24,19,161,8.47,1,0,0,1,,,22,41.1,44.1,31.6,,51,,KoyaBe00
311,Roger Lewis,NYG,WR,23,13,1,0,0,0,0,0,0,0,,0,19,7,97,13.86,2,0,0,2,,,22,28.7,28.7,25.2,,126,,LewiRo03
312,Marquess Wilson,CHI,WR,24,3,1,0,0,0,0,0,0,0,,0,16,9,160,17.78,1,0,0,1,,,22,31,34,26.5,,125,,WilsMa02
313,Harry Douglas,TEN,WR,32,11,2,0,0,0,0,0,0,0,,0,22,15,210,14,0,0,0,0,,,21,36,39,28.5,,128,,DougHa00
314,Lance Dunbar,DAL,RB,26,13,0,0,0,0,0,0,9,31,3.44,1,24,16,122,7.63,0,1,0,1,,,21,37.3,40.3,29.3,,91,,DunbLa00
315,Darren Fells,ARI,TE,30,14,7,0,0,0,0,0,0,0,,0,18,14,154,11,1,0,0,1,,,21,35.4,38.4,28.4,,52,,FellDa01
316,Josh Hill,NOR,TE,26,9,8,0,0,0,0,0,0,0,,0,22,15,149,9.93,1,0,0,1,,,21,35.9,38.9,28.4,,54,,HillJo02
317,Andre Johnson,TEN,WR,35,8,4,0,0,0,0,0,0,0,,0,22,9,85,9.44,2,0,0,2,,,21,29.5,29.5,25,,129,,JohnAn02
318,Ricardo Louis,CLE,WR,22,16,3,0,0,0,0,0,0,0,,0,35,18,205,11.39,0,1,0,0,,,21,38.5,41.5,29.5,,130,,LouiRi00
319,Austin Seferian-Jenkins,2TM,TE,24,9,2,0,0,0,0,0,0,0,,0,20,13,154,11.85,1,0,0,1,,,21,34.4,37.4,27.9,,53,,SefeAu00
320,Darren Waller,BAL,TE,24,12,3,0,0,0,0,0,0,0,,0,17,10,85,8.5,2,0,0,2,,,21,30.5,30.5,25.5,,55,,WallDa01
321,Danny Woodhead,SDG,WR,31,2,1,0,0,0,0,0,19,116,6.11,0,8,6,35,5.83,1,0,0,1,,,21,27.1,30.1,24.1,,127,,WoodDa02
322,Cody Core,CIN,WR,22,8,4,0,0,0,0,0,0,0,,0,27,17,200,11.76,0,0,0,0,,,20,37,40,28.5,,132,,CoreCo00
323,Anthony Fasano,TEN,TE,32,16,10,0,0,0,0,0,0,0,,0,13,8,83,10.38,2,0,0,2,,,20,28.3,28.3,24.3,,56,,FasaAn00
324,Jonathan Grimes,HOU,RB,27,10,0,0,0,0,0,0,23,105,4.57,0,18,13,94,7.23,0,0,0,0,,,20,32.9,35.9,26.4,,92,,GrimJo01
325,Freddie Martino,TAM,WR,25,13,0,0,0,0,0,0,0,0,,0,11,8,142,17.75,1,0,0,1,,,20,28.2,31.2,24.2,,131,,MartFr00
326,Bobby Rainey,NYG,RB,29,15,0,0,0,0,0,0,17,63,3.71,0,25,20,153,7.65,0,1,1,0,,,20,39.6,43.6,29.6,,93,,RainBo00
327,Kevin White,CHI,WR,24,4,4,0,0,0,0,0,1,9,9,0,36,19,187,9.84,0,0,0,0,,,20,38.6,41.6,29.1,,133,,WhitKe00
328,Benny Cunningham,LAR,RB,26,11,0,0,0,0,0,0,21,101,4.81,0,21,16,91,5.69,0,1,0,0,,,19,35.2,38.2,27.2,,94,,CunnBe01
329,Ed Dickson,CAR,TE,29,16,8,0,0,0,0,0,0,0,,0,19,10,134,13.4,1,0,0,1,,,19,29.4,32.4,24.4,,57,,DickEd00
330,Jerell Adams,NYG,TE,24,13,2,0,0,0,0,0,0,0,,0,21,16,122,7.63,1,1,0,1,,,18,34.2,37.2,26.2,,59,,AdamJe01
331,Arrelious Benn,JAX,WR,28,15,0,0,0,0,0,0,0,0,,0,10,5,116,23.2,1,0,0,1,,,18,22.6,25.6,20.1,,134,,BennAr00
332,Daniel Brown,2TM,TE,24,8,3,0,0,0,0,0,0,0,,0,20,16,124,7.75,1,0,0,1,,,18,34.4,37.4,26.4,,58,,BrowDa04
333,Ka'Deem Carey,CHI,RB,24,12,0,0,0,0,0,0,32,126,3.94,0,7,5,55,11,0,0,0,0,,,18,23.1,26.1,20.6,,95,,CareKa00
334,Andre Ellington,ARI,RB,27,16,0,0,0,0,0,0,34,96,2.82,0,19,12,85,7.08,0,0,0,0,,,18,30.1,30.1,24.1,,96,,ElliAn00
335,Tom Savage,HOU,QB,26,3,2,46,73,461,0,0,6,12,2,0,0,0,0,,0,1,1,0,,,18,17.6,21.6,17.6,,46,,SavaTo00
336,Derek Anderson,CAR,QB,33,5,2,36,53,453,2,5,1,4,4,0,0,0,0,,0,1,1,0,,1,17,16.5,25.5,21.5,,48,,AndeDe00
337,Reggie Bush,BUF,RB,31,13,0,0,0,0,0,0,12,-3,-0.25,1,10,7,90,12.86,0,1,0,1,1,,17,23.7,23.7,20.2,,97,,BushRe00
